,TrainedModels/D1,TrainedModels/D1-D2,TrainedModels/D1-V1,TrainedModels/D1-V2,TrainedModels/D1-V3,TrainedModels/D1-V4,TrainedModels/D1-V5,TrainedModels/D1-V6,TrainedModels/8leads,TrainedModels/12leads,TrainedModels/12leads_WithoutDataAugmentation
NORM,89.91,93.39,89.75,89.74,91.29,92.32,91.79,91.44,93.19,93.46,92.82
STTC,77.17,82.52,77.16,81.35,82.56,82.10,84.58,84.39,83.63,85.14,84.34
AMI,80.19,80.30,85.61,90.27,87.79,83.06,83.70,84.31,92.37,92.55,91.20
IMI,69.09,87.61,75.48,72.18,72.28,73.08,75.33,74.50,87.76,90.20,90.33
LAFB/LPFB,69.25,94.55,77.37,72.14,74.71,78.01,80.41,81.50,94.93,94.88,93.46
IRBBB,60.92,68.87,91.72,85.13,66.05,67.50,67.65,73.70,90.99,91.23,89.35
LVH,81.63,82.80,83.78,83.72,82.47,83.25,86.80,88.06,88.98,87.90,90.29
CLBBB,95.47,95.71,96.29,96.29,96.71,96.38,96.71,95.95,95.97,95.44,95.78
NST_,86.19,87.24,86.78,87.20,84.51,83.39,81.69,83.22,86.59,87.38,86.23
ISCA,86.09,85.26,85.82,89.64,91.09,90.54,84.91,82.63,91.18,90.24,87.51
CRBBB,95.18,96.26,98.15,97.02,95.20,95.74,96.15,95.93,97.88,97.86,97.47
IVCD,57.70,62.52,56.82,62.93,56.36,57.08,55.90,55.27,60.43,57.99,67.70
ISC_,80.53,87.28,84.27,84.31,85.31,88.39,90.46,90.49,89.45,89.75,89.38
_AVB,90.41,92.37,89.81,91.49,91.21,91.24,92.23,92.38,92.30,91.55,89.88
ISCI,76.44,87.27,71.92,73.38,79.31,77.95,69.32,71.29,87.15,87.94,81.58
WPW,68.11,63.22,66.83,58.64,63.47,65.93,62.87,61.49,71.44,73.22,70.15
LAO/LAE,79.38,87.99,83.50,80.63,81.92,82.16,78.90,77.97,76.21,79.20,72.92
ILBBB,75.00,75.00,73.90,74.42,68.93,74.94,74.88,73.79,73.08,71.87,66.47
RAO/RAE,66.65,84.31,75.92,70.71,61.51,70.98,71.29,72.37,78.56,71.23,76.00
LMI,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,64.74
Average,78.43,83.78,81.69,81.28,79.93,80.84,80.50,80.85,85.64,85.63,84.81
