,GeorgiaRefinementAll/D1,GeorgiaRefinementAll/D1-D2,GeorgiaRefinementAll/12leads
IAVB,94.02,95.51,94.98
AF,86.97,89.85,89.53
AFL,82.66,84.11,85.91
CRBBB,95.96,96.66,97.91
IRBBB,82.26,87.70,95.53
LAnFB,75.91,97.08,96.64
LAD,71.55,96.76,96.41
LBBB,99.11,99.00,98.98
LQRSV,80.30,88.55,94.07
NSIVCB,76.36,80.72,88.52
PAC,64.44,65.50,67.08
LQT,78.53,80.54,85.67
QAb,72.43,80.16,86.84
RAD,92.68,93.97,96.79
SA,68.83,71.77,69.46
SB,96.51,96.95,97.08
SNR,87.53,89.91,91.89
STach,97.80,97.77,97.73
TAb,81.12,85.24,88.53
TInv,66.12,68.50,68.25
VPB,77.40,79.23,80.75
Average,81.88,86.56,88.69
