,GeorgiaRefinementLastLayer/D1,GeorgiaRefinementLastLayer/D1-D2,GeorgiaRefinementLastLayer/12leads
IAVB,56.90,71.14,74.82
AF,55.86,69.44,76.33
AFL,53.27,58.62,67.74
CRBBB,75.03,83.30,91.97
IRBBB,58.08,59.51,80.95
LAnFB,62.01,68.17,79.32
LAD,56.54,84.52,91.68
LBBB,35.75,80.65,96.91
LQRSV,71.27,79.33,87.45
NSIVCB,60.48,60.77,68.08
PAC,55.24,59.64,58.88
LQT,55.98,59.88,71.23
QAb,44.72,50.16,69.81
RAD,73.26,82.19,79.64
SA,47.61,48.28,51.41
SB,67.67,76.40,90.60
SNR,63.12,74.37,83.93
STach,63.27,70.49,87.37
TAb,75.34,79.99,86.31
TInv,46.97,51.96,63.51
VPB,55.03,63.58,70.09
Average,60.64,69.25,78.01
