,GeorgiaRefinementAll/D1,GeorgiaRefinementAll/D1-D2,GeorgiaRefinementLastLayer/12leads
IAVB,83.68,86.45,76.03
AF,75.88,80.82,75.87
AFL,69.55,72.80,67.73
CRBBB,93.08,93.96,92.59
IRBBB,73.82,78.97,81.29
LAnFB,64.73,91.47,82.30
LAD,67.25,93.87,91.90
LBBB,97.21,96.78,97.56
LQRSV,63.06,70.70,88.22
NSIVCB,68.37,69.62,69.40
PAC,58.34,58.69,60.43
LQT,69.24,70.78,71.70
QAb,61.34,72.99,71.43
RAD,78.35,85.34,81.38
SA,52.01,61.10,52.99
SB,86.32,91.49,91.14
SNR,80.37,84.65,84.45
STach,91.37,94.04,88.23
TAb,79.15,84.02,86.65
TInv,62.19,65.41,63.82
VPB,69.64,72.94,70.08
Average,73.57,79.85,78.34
