,ChinaRefinementLastLayer/D1,ChinaRefinementLastLayer/D1-D2,ChinaRefinementLastLayer/12leads
IAVB,68.33,84.03,89.22
AF,83.26,94.42,95.43
AFL,65.00,57.46,67.71
CRBBB,90.64,94.92,97.96
IRBBB,65.76,75.70,88.79
LBBB,44.33,62.12,54.60
PAC,59.46,58.64,63.63
SA,87.00,74.75,72.24
SB,54.90,71.31,76.19
SNR,75.67,64.63,74.59
STach,90.73,93.68,95.38
TAb,30.35,39.01,55.70
Average,70.55,75.00,79.66
