,ChinaRefinement/D1,ChinaRefinement/D1-D2,ChinaRefinement/12leads
IAVB,88.44,93.47,92.84
AF,93.89,96.17,97.13
AFL,86.14,92.29,94.65
CRBBB,98.79,99.06,98.54
IRBBB,94.28,91.92,96.98
LBBB,71.14,91.11,94.31
PAC,73.89,73.03,77.14
SA,75.83,70.59,76.50
SB,73.03,82.71,82.92
SNR,37.98,54.47,67.48
STach,96.90,96.09,97.23
TAb,45.34,50.31,76.97
Average,76.03,80.62,86.47
