,TrainedModels/D1,TrainedModels/D1-D2,TrainedModels/D1-V1,TrainedModels/D1-V2,TrainedModels/D1-V3,TrainedModels/D1-V4,TrainedModels/D1-V5,TrainedModels/D1-V6,TrainedModels/8leads,TrainedModels/12leads,TrainedModels/12leads_WithoutDataAugmentation
NORM,76.85,82.63,80.54,80.86,80.82,80.98,81.46,81.42,87.49,88.03,87.60
STTC,71.78,72.31,72.86,73.66,74.10,78.20,77.35,74.49,81.34,80.29,79.59
AMI,74.06,78.11,81.11,87.23,88.67,82.64,74.04,75.80,88.40,88.76,88.63
IMI,65.45,85.99,64.65,66.77,68.79,70.04,72.83,77.33,85.07,87.67,87.21
LAFB/LPFB,76.15,92.66,75.89,76.42,74.28,79.03,83.72,86.59,92.70,91.91,91.80
IRBBB,76.80,75.55,90.32,82.41,74.08,72.77,72.51,72.24,91.32,90.82,89.42
LVH,83.59,82.63,86.05,83.76,86.26,87.82,85.47,87.14,86.27,87.28,87.15
CLBBB,97.60,98.82,98.85,98.57,97.38,97.48,97.66,98.96,99.09,98.79,98.46
NST_,71.30,74.24,70.08,70.86,71.99,73.05,78.74,76.52,77.87,77.47,76.96
ISCA,78.46,80.36,79.56,76.60,78.15,78.46,80.41,80.43,80.99,82.29,80.50
CRBBB,96.53,97.51,98.64,97.72,97.40,97.01,96.86,97.28,98.40,98.31,98.20
IVCD,71.17,75.97,80.76,75.31,77.61,74.79,75.37,78.45,82.72,85.20,76.86
ISC_,87.86,86.10,86.46,84.66,84.28,86.41,88.94,89.66,89.78,89.37,89.09
_AVB,82.11,86.04,83.68,82.32,82.58,83.03,83.16,82.94,83.92,83.32,84.52
ISCI,58.94,81.05,64.74,68.82,66.41,69.76,81.36,77.02,83.59,86.21,85.26
WPW,94.30,93.03,93.29,92.94,94.23,92.76,92.77,90.84,91.44,91.38,88.99
LAO/LAE,72.23,73.25,72.20,68.75,67.33,70.77,74.47,73.13,73.43,73.41,75.50
ILBBB,95.05,95.38,94.44,94.67,92.83,94.26,94.90,92.55,90.88,91.85,87.80
RAO/RAE,84.09,91.30,81.27,81.15,87.63,88.04,87.93,84.93,88.05,91.49,87.50
LMI,98.15,99.39,97.91,98.81,99.03,98.98,98.97,99.29,97.87,98.66,94.20
Average,79.82,84.39,81.84,81.29,81.28,82.08,83.12,82.95,86.76,87.44,85.84
