,TrainedModels/D1,TrainedModels/D1-D2,TrainedModels/D1-V1,TrainedModels/D1-V2,TrainedModels/D1-V3,TrainedModels/D1-V4,TrainedModels/D1-V5,TrainedModels/D1-V6,TrainedModels/8leads,TrainedModels/12leads,TrainedModels/12leads_WithoutDataAugmentation
NORM,75.89,81.73,79.41,79.75,79.79,79.98,80.65,80.39,86.84,87.34,86.85
STTC,69.38,69.80,70.35,71.82,71.65,76.24,75.77,72.52,79.76,77.93,77.44
AMI,72.65,76.60,79.50,86.03,87.49,81.19,71.96,74.38,87.47,87.59,87.59
IMI,61.73,84.25,61.81,63.26,66.01,66.79,69.94,73.90,83.47,86.13,85.52
LAFB/LPFB,74.03,91.99,73.55,73.58,72.01,77.26,82.24,85.04,92.10,91.19,90.88
IRBBB,73.08,71.77,89.47,80.28,70.22,69.43,69.06,69.24,90.26,89.79,88.05
LVH,82.07,80.16,84.54,82.30,84.57,86.45,83.80,85.98,84.72,85.72,85.60
CLBBB,96.88,98.38,98.30,98.08,96.73,96.86,97.15,98.63,98.81,98.37,97.97
NST_,69.05,71.80,67.10,68.10,68.69,70.34,76.00,73.66,75.81,75.02,74.84
ISCA,77.05,78.73,77.20,74.89,76.40,77.22,78.58,78.47,79.31,80.81,78.54
CRBBB,95.86,97.10,98.46,97.32,96.83,96.30,96.20,96.80,98.17,98.09,97.86
IVCD,66.34,72.05,78.21,72.49,72.45,70.32,71.08,73.11,79.78,81.76,72.78
ISC_,86.61,84.79,85.26,82.88,82.70,85.16,87.84,88.49,88.68,88.18,87.94
_AVB,80.27,84.59,82.01,80.76,81.26,81.21,81.84,81.16,82.26,81.72,82.65
ISCI,54.93,78.43,60.11,64.25,62.98,66.52,77.93,72.03,81.33,83.90,82.14
WPW,92.35,89.08,89.24,89.47,90.98,88.59,89.15,86.20,86.38,87.72,84.75
LAO/LAE,68.70,70.38,68.89,64.65,64.07,67.99,70.98,68.73,68.96,69.25,70.82
ILBBB,93.97,94.01,92.91,92.33,89.91,92.58,91.92,89.81,87.67,88.53,82.60
RAO/RAE,79.84,89.14,76.92,77.16,83.87,84.54,84.12,79.81,84.09,87.48,83.28
LMI,96.93,99.07,96.92,97.99,98.03,98.49,98.59,99.06,94.60,97.50,89.56
Average,79.18,83.92,81.33,80.70,80.74,81.41,82.57,82.28,86.29,86.88,85.30
