,ChinaRefinement/D1,ChinaRefinement/D1-D2,ChinaRefinement/12leads
IAVB,48.61,58.24,60.81
AF,64.23,76.49,69.24
AFL,53.27,46.64,29.53
CRBBB,47.55,53.41,82.99
IRBBB,35.61,50.94,75.16
LBBB,42.79,47.21,45.76
PAC,52.88,48.66,51.39
SA,62.60,60.65,56.55
SB,44.28,50.74,66.46
SNR,51.46,65.50,70.51
STach,50.41,52.29,82.08
TAb,30.09,35.75,25.64
Average,53.65,58.48,63.09
