,TrainedModels/D1,TrainedModels/D1-D2,TrainedModels/D1-V1,TrainedModels/D1-V2,TrainedModels/D1-V3,TrainedModels/D1-V4,TrainedModels/D1-V5,TrainedModels/D1-V6,TrainedModels/8leads,TrainedModels/12leads,TrainedModels/12leads_WithoutDataAugmentation
NORM,90.84,94.19,90.88,90.82,92.25,93.30,92.66,92.51,93.90,94.03,93.69
STTC,79.52,84.97,79.68,83.16,85.03,84.11,86.11,86.48,85.17,87.50,86.70
AMI,81.73,81.75,87.12,91.50,88.89,84.79,85.72,85.66,93.44,93.57,92.44
IMI,72.85,89.62,78.23,75.56,75.30,76.51,78.15,77.92,89.66,91.71,91.96
LAFB/LPFB,71.63,95.33,79.90,75.03,77.17,80.01,81.96,82.92,95.59,95.72,94.51
IRBBB,64.91,72.65,92.70,87.26,70.22,70.63,71.34,76.94,92.23,92.42,90.96
LVH,83.28,85.24,85.33,85.35,84.42,84.59,88.36,89.41,90.59,89.56,92.09
CLBBB,96.31,96.36,96.75,96.90,97.36,97.10,97.36,96.42,96.25,95.97,96.22
NST_,88.24,89.71,89.30,90.29,87.73,86.10,85.13,86.11,88.78,89.32,88.36
ISCA,87.51,86.90,88.47,91.59,92.59,91.75,86.82,84.73,92.82,91.79,89.99
CRBBB,96.00,96.93,98.15,97.58,96.06,96.49,96.96,96.51,98.12,98.14,97.94
IVCD,62.54,66.49,59.48,65.90,61.67,61.79,60.22,60.55,63.21,61.71,71.70
ISC_,81.81,88.61,85.57,86.17,86.76,89.77,91.53,91.63,90.62,90.85,90.91
_AVB,92.32,93.87,91.70,93.24,92.74,92.80,93.77,94.06,94.04,93.13,91.78
ISCI,81.48,89.91,77.11,78.92,82.91,81.17,73.05,76.26,89.59,90.72,85.83
WPW,70.75,68.21,72.03,64.22,67.96,70.07,67.41,66.51,75.99,78.78,76.70
LAO/LAE,83.13,91.27,86.87,85.00,85.19,85.10,82.73,82.77,81.27,83.46,77.74
ILBBB,75.00,75.00,75.10,76.08,72.57,76.56,77.12,77.21,76.92,75.63,72.53
RAO/RAE,71.85,86.69,79.58,75.29,65.99,76.02,76.21,78.13,82.94,76.77,81.00
LMI,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,67.26
Average,79.09,84.29,82.21,81.94,80.51,81.46,81.08,81.48,86.19,86.03,85.59
