,TrainedModels/D1,TrainedModels/D1-D2,TrainedModels/D1-V1,TrainedModels/D1-V2,TrainedModels/D1-V3,TrainedModels/D1-V4,TrainedModels/D1-V5,TrainedModels/D1-V6,TrainedModels/8leads,TrainedModels/12leads,TrainedModels/12leads_WithoutDataAugmentation
NORM,89.689,93.905,91.940,91.834,92.164,92.860,93.016,92.748,96.024,96.029,95.964
STTC,80.581,84.694,81.840,84.378,85.757,87.415,88.184,86.429,89.999,90.476,89.452
AMI,83.033,85.571,90.187,94.876,94.087,90.039,86.159,86.215,96.641,96.640,96.066
IMI,71.230,93.161,74.965,74.064,75.176,76.780,80.044,82.841,92.927,95.073,94.977
LAFB/LPFB,78.778,97.515,83.401,80.725,81.552,85.702,89.487,90.742,97.759,98.156,97.594
IRBBB,73.473,78.820,96.092,91.246,75.905,75.030,75.773,79.455,95.778,96.029,94.790
LVH,87.843,90.628,91.272,90.760,90.843,91.924,93.097,93.979,94.332,94.113,94.951
CLBBB,99.524,99.648,99.724,99.734,99.656,99.621,99.711,99.688,99.509,99.462,99.074
NST_,84.592,86.857,84.820,84.292,84.634,84.716,87.069,86.304,88.035,87.955,86.445
ISCA,87.811,87.654,88.980,88.614,89.535,89.603,89.288,88.337,91.693,91.804,90.003
CRBBB,98.843,99.311,99.673,99.555,99.137,99.106,99.206,99.106,99.562,99.541,99.576
IVCD,68.098,73.578,71.175,72.240,71.147,69.614,68.606,70.504,75.233,76.028,78.142
ISC_,90.644,92.879,91.714,91.584,91.533,93.376,95.100,95.501,95.192,95.318,94.963
_AVB,92.209,95.089,93.095,92.792,93.064,92.973,93.482,93.375,94.093,93.589,93.549
ISCI,71.370,91.398,71.172,76.751,76.039,78.632,81.164,81.419,92.401,93.477,90.165
WPW,85.440,83.164,89.564,82.847,83.960,83.688,81.552,81.310,91.402,92.217,88.804
LAO/LAE,80.188,86.568,83.076,79.741,79.551,80.829,81.695,81.441,80.584,81.746,79.642
ILBBB,89.918,90.254,91.701,92.704,90.547,92.894,93.215,92.129,91.734,90.864,86.340
RAO/RAE,84.131,96.826,86.828,83.341,79.629,87.827,88.565,88.628,93.156,91.825,91.013
LMI,98.587,99.513,98.395,99.012,99.100,99.264,99.275,99.516,97.617,98.863,94.712
Average,85.005,90.499,88.162,87.758,86.854,87.802,88.366,88.677,92.853,93.149,92.076
