,TrainedModels/D1,TrainedModels/D1-D2,TrainedModels/D1-V1,TrainedModels/D1-V2,TrainedModels/D1-V3,TrainedModels/D1-V4,TrainedModels/D1-V5,TrainedModels/D1-V6,TrainedModels/8leads,TrainedModels/12leads,TrainedModels/12leads_WithoutDataAugmentation
NORM,89.825,93.993,92.052,91.978,92.292,92.945,93.130,92.823,96.098,96.106,96.158
STTC,80.884,84.925,82.106,84.654,85.981,87.641,88.389,86.635,90.221,90.681,89.757
AMI,83.329,85.771,90.403,95.014,94.237,90.304,86.355,86.495,96.765,96.797,96.364
IMI,71.949,93.402,75.400,74.620,75.624,77.324,80.483,83.262,93.172,95.242,95.252
LAFB/LPFB,79.236,97.635,83.722,81.161,81.889,86.028,89.681,90.979,97.905,98.248,97.754
IRBBB,74.241,79.459,96.251,91.571,76.430,75.636,76.372,80.040,96.013,96.296,95.243
LVH,88.092,90.918,91.561,91.079,91.116,92.195,93.364,94.188,94.554,94.369,95.253
CLBBB,99.593,99.695,99.777,99.782,99.697,99.678,99.739,99.728,99.611,99.574,99.321
NST_,85.124,87.364,85.360,84.904,85.079,85.232,87.570,86.842,88.450,88.499,87.389
ISCA,88.062,87.894,89.241,88.899,89.826,89.876,89.590,88.594,91.998,92.145,90.760
CRBBB,99.035,99.374,99.701,99.597,99.303,99.217,99.280,99.214,99.591,99.572,99.616
IVCD,68.713,74.148,71.747,72.808,71.680,70.159,69.278,71.133,75.713,76.768,78.896
ISC_,90.820,93.035,91.896,91.778,91.741,93.540,95.260,95.647,95.368,95.489,95.238
_AVB,92.798,95.317,93.451,93.157,93.362,93.387,93.704,93.821,94.392,93.880,93.945
ISCI,72.640,91.958,72.330,77.885,77.140,79.679,82.036,82.375,92.961,94.222,91.274
WPW,87.661,85.636,91.833,85.805,86.272,85.676,84.586,84.732,93.354,94.497,91.712
LAO/LAE,81.011,87.286,83.956,80.804,80.282,81.775,82.623,82.358,81.849,83.115,81.107
ILBBB,91.042,91.221,92.435,93.429,91.805,93.887,94.215,93.602,92.915,92.072,88.522
RAO/RAE,85.719,97.391,88.371,85.079,82.092,89.832,90.143,90.201,94.465,93.271,93.029
LMI,99.038,99.667,98.816,99.329,99.477,99.462,99.452,99.646,98.878,99.299,97.040
Average,85.234,90.657,88.339,87.963,87.063,87.966,88.581,88.922,93.044,93.318,92.417
