,TrainedModels/D1,TrainedModels/D1-D2,TrainedModels/D1-V1,TrainedModels/D1-V2,TrainedModels/D1-V3,TrainedModels/D1-V4,TrainedModels/D1-V5,TrainedModels/D1-V6,TrainedModels/8leads,TrainedModels/12leads,TrainedModels/12leads_WithoutDataAugmentation
NORM,89.76,93.95,92.00,91.91,92.23,92.90,93.07,92.79,96.06,96.07,96.06
STTC,80.73,84.81,81.97,84.52,85.87,87.53,88.29,86.53,90.11,90.58,89.60
AMI,83.18,85.67,90.29,94.94,94.16,90.17,86.26,86.35,96.70,96.72,96.21
IMI,71.59,93.28,75.18,74.34,75.40,77.05,80.26,83.05,93.05,95.16,95.11
LAFB/LPFB,79.01,97.57,83.56,80.94,81.72,85.87,89.58,90.86,97.83,98.20,97.67
IRBBB,73.86,79.14,96.17,91.41,76.17,75.33,76.07,79.75,95.90,96.16,95.02
LVH,87.97,90.77,91.42,90.92,90.98,92.06,93.23,94.08,94.44,94.24,95.10
CLBBB,99.56,99.67,99.75,99.76,99.68,99.65,99.72,99.71,99.56,99.52,99.20
NST_,84.86,87.11,85.09,84.60,84.86,84.97,87.32,86.57,88.24,88.23,86.92
ISCA,87.94,87.77,89.11,88.76,89.68,89.74,89.44,88.47,91.85,91.97,90.38
CRBBB,98.94,99.34,99.69,99.58,99.22,99.16,99.24,99.16,99.58,99.56,99.60
IVCD,68.41,73.86,71.46,72.52,71.41,69.89,68.94,70.82,75.47,76.40,78.52
ISC_,90.73,92.96,91.81,91.68,91.64,93.46,95.18,95.57,95.28,95.40,95.10
_AVB,92.50,95.20,93.27,92.97,93.21,93.18,93.59,93.60,94.24,93.73,93.75
ISCI,72.01,91.68,71.75,77.32,76.59,79.16,81.60,81.90,92.68,93.85,90.72
WPW,86.55,84.40,90.70,84.33,85.12,84.68,83.07,83.02,92.38,93.36,90.26
LAO/LAE,80.60,86.93,83.52,80.27,79.92,81.30,82.16,81.90,81.22,82.43,80.37
ILBBB,90.48,90.74,92.07,93.07,91.18,93.39,93.72,92.87,92.32,91.47,87.43
RAO/RAE,84.93,97.11,87.60,84.21,80.86,88.83,89.35,89.41,93.81,92.55,92.02
LMI,98.81,99.59,98.61,99.17,99.29,99.36,99.36,99.58,98.25,99.08,95.88
Average,85.12,90.58,88.25,87.86,86.96,87.88,88.47,88.80,92.95,93.23,92.25
